City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Greymouth,-42.4667,171.2,10.82,88,100,2.92,NZ,1697491952
1,Nova Sintra,14.8667,-24.7167,25.57,73,37,3.71,CV,1697491953
2,Port-aux-Français,-49.35,70.2167,2.99,88,87,12.57,TF,1697491952
3,Birjand,32.8663,59.2211,12.26,26,0,5.14,IR,1697491953
4,Cologne,50.9333,6.95,8.81,88,0,2.06,DE,1697491310
5,Ranchi,23.35,85.3333,20.43,75,0,1.32,IN,1697491953
6,Edinburgh of the Seven Seas,-37.0676,-12.3116,12.21,69,7,2.21,SH,1697491953
7,Blackmans Bay,-43.0167,147.3167,7.63,75,12,1.34,AU,1697491954
8,Granville,-33.8333,151.0167,15.21,66,40,12.35,AU,1697491954
9,Tiksi,71.6872,128.8694,-13.7,94,93,3.36,RU,1697491954
10,Papatowai,-46.5619,169.4708,9.23,53,74,4.5,NZ,1697491954
11,Puerto Aisén,-45.4,-72.7,9.99,87,82,1.8,CL,1697491954
12,Bilibino,68.0546,166.4372,-10.58,99,99,1.0,RU,1697491955
13,Naryan-Mar,67.6713,53.087,3.95,93,100,5.81,RU,1697491595
14,Kapuskasing,49.4169,-82.4331,8.05,71,20,4.12,CA,1697491581
15,Utrik,11.2278,169.8474,28.28,76,32,7.6,MH,1697491277
16,Badger,64.8,-147.5333,8.23,68,75,3.09,US,1697491955
17,Camacupa,-12.0167,17.4833,19.76,76,87,0.89,AO,1697491956
18,Adamstown,-25.066,-130.1015,21.91,82,51,4.11,PN,1697491955
19,Iqaluit,63.7506,-68.5145,-5.15,73,20,4.63,CA,1697491409
20,Tura,25.5198,90.2201,19.74,90,0,1.64,IN,1697491956
21,Kailua-Kona,19.6406,-155.9956,28.11,81,75,4.12,US,1697491956
22,Aasiaat,68.7098,-52.8699,-9.65,98,100,2.99,GL,1697491574
23,Puerto Ayora,-0.7393,-90.3518,28.98,90,87,3.58,EC,1697491875
24,Bikenibeu Village,1.3673,173.1241,27.98,83,75,3.6,KI,1697491957
25,Chernyshevskiy,63.0128,112.4714,-2.39,98,100,1.76,RU,1697491438
26,Kununurra,-15.7667,128.7333,16.99,59,0,3.09,AU,1697491586
27,Albany,42.6001,-73.9662,15.36,63,93,2.3,US,1697491842
28,Grytviken,-54.2811,-36.5092,-0.61,84,13,4.27,GS,1697491957
29,Tazovsky,67.4667,78.7,-1.11,94,95,1.13,RU,1697491958
30,Rongelap,11.1635,166.8941,28.71,75,100,8.49,MH,1697491277
31,Bredasdorp,-34.5322,20.0403,15.29,87,19,4.12,ZA,1697491958
32,Taltal,-25.4,-70.4833,17.89,71,28,2.47,CL,1697491958
33,Isafjordur,66.0755,-23.124,0.21,83,100,2.32,IS,1697491441
34,Swan Hill,-35.3378,143.5544,7.47,73,0,4.23,AU,1697491619
35,Afaahiti,-17.75,-149.2833,28.93,82,78,4.87,PF,1697491582
36,New Norfolk,-42.7826,147.0587,7.73,77,10,1.59,AU,1697491400
37,Champerico,14.3,-91.9167,28.3,83,99,1.86,GT,1697491959
38,Anqiu,36.4342,119.1925,12.99,63,0,2.81,CN,1697491959
39,Port Mathurin,-19.6833,63.4167,23.89,86,1,4.0,MU,1697491406
40,Bethel,41.3712,-73.414,16.4,65,75,3.6,US,1697491202
41,Dryden,49.7833,-92.7503,12.16,50,0,2.57,CA,1697491960
42,Dos Hermanas,37.2829,-5.9209,23.09,81,0,3.09,ES,1697491960
43,Saipan,15.1355,145.701,27.39,94,20,2.57,MP,1697491961
44,Ushuaia,-54.8,-68.3,8.81,51,75,6.17,AR,1697491884
45,Waitangi,-43.9535,-176.5597,15.46,81,58,4.92,NZ,1697491961
46,Manismata,-2.4667,111.0333,24.21,93,95,1.04,ID,1697491420
47,Chonchi,-42.6128,-73.8092,12.56,56,6,2.27,CL,1697491463
48,Nizao,18.25,-70.2,33.04,75,23,3.92,DO,1697491962
49,Belyy Yar,53.6039,91.3903,3.94,70,0,6.0,RU,1697491962
50,Rémire-Montjoly,4.9167,-52.2667,30.02,70,40,3.09,GF,1697491962
51,Udachny,66.4167,112.4,-3.08,92,100,1.39,RU,1697491397
52,Karasuk,53.7377,78.0403,8.32,84,100,4.02,RU,1697491963
53,Ilulissat,69.2167,-51.1,-6.99,79,100,9.26,GL,1697491963
54,Jamestown,42.097,-79.2353,10.77,95,100,2.57,US,1697491224
55,Selfoss,63.9331,-20.9971,2.8,80,100,1.52,IS,1697491963
56,Al Jawf,29.5,38.75,19.43,41,0,3.51,SA,1697491964
57,Ribeira Grande,38.5167,-28.7,19.32,82,20,2.68,PT,1697491964
58,Tralee,52.2704,-9.7026,8.8,87,100,4.79,IE,1697491447
59,Avarua,-21.2078,-159.775,23.03,64,75,4.63,CK,1697491420
60,La Ronge,55.1001,-105.2842,16.14,44,0,3.6,CA,1697491964
61,Rayachoti,14.05,78.75,22.43,85,66,1.43,IN,1697491964
62,Carutapera,-1.195,-46.02,26.69,76,42,3.97,BR,1697491965
63,Bambanglipuro,-7.95,110.2833,23.26,94,31,1.86,ID,1697491965
64,Bardai,11.65,7.2333,25.61,36,99,2.09,NG,1697491565
65,Alice Springs,-23.7,133.8833,12.75,47,0,2.06,AU,1697491889
66,Lumajang,-8.1335,113.2248,23.2,91,72,0.86,ID,1697491965
67,Langzhong,31.5504,105.9938,18.36,83,100,1.96,CN,1697491966
68,Shiprock,36.7855,-108.687,25.19,15,3,1.26,US,1697491966
69,Kourou,5.1552,-52.6478,30.03,76,17,4.29,GF,1697491615
70,San Antonio de Palé,-1.4014,5.6325,25.48,82,97,5.53,GQ,1697491966
71,Muntok,-2.0667,105.1833,25.48,84,76,3.31,ID,1697491966
72,Dalianwan,39.0286,121.695,8.02,81,0,0.0,CN,1697491966
73,Saint Paul Harbor,57.79,-152.4072,9.73,93,40,1.54,US,1697491967
